model,property,in-distribution,shifted,shifted 95% CI
logreg,Accuracy,0.766,0.75,"[0.742, 0.758]"
logreg,Brier,0.169,0.178,"[0.173, 0.182]"
logreg,DP gap (race),0.025,0.041,"[0.037, 0.044]"
logreg,DP gap (sex),0.025,0.036,"[0.033, 0.039]"
logreg,ECE (calibration),0.036,0.052,"[0.045, 0.059]"
logreg,Explanation instability,-,0.034,"[0.029, 0.038]"
logreg,PR-AUC,0.673,0.671,"[0.654, 0.690]"
logreg,ROC-AUC,0.704,0.707,"[0.701, 0.712]"
rf,Accuracy,0.768,0.748,"[0.742, 0.755]"
rf,Brier,0.165,0.176,"[0.173, 0.180]"
rf,DP gap (race),0.027,0.043,"[0.037, 0.048]"
rf,DP gap (sex),0.02,0.04,"[0.036, 0.043]"
rf,ECE (calibration),0.03,0.057,"[0.049, 0.064]"
rf,Explanation instability,-,0.03,"[0.027, 0.033]"
rf,PR-AUC,0.705,0.689,"[0.670, 0.709]"
rf,ROC-AUC,0.722,0.719,"[0.714, 0.724]"
xgb,Accuracy,0.767,0.75,"[0.743, 0.756]"
xgb,Brier,0.165,0.175,"[0.172, 0.179]"
xgb,DP gap (race),0.026,0.045,"[0.039, 0.051]"
xgb,DP gap (sex),0.023,0.042,"[0.039, 0.045]"
xgb,ECE (calibration),0.035,0.057,"[0.049, 0.065]"
xgb,Explanation instability,-,0.034,"[0.030, 0.038]"
xgb,PR-AUC,0.706,0.692,"[0.674, 0.713]"
xgb,ROC-AUC,0.723,0.722,"[0.717, 0.727]"
